"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","Kyle Singler",3000,"OKC@LAL 10:30PM ET",5.370,"OKC"
"C","Robert Sacre",3000,"OKC@LAL 10:30PM ET",9.646,"LAL"
"C","DeJuan Blair",3000,"Tor@Was 07:00PM ET",6.083,"Was"
"SF","Luke Babbitt",3000,"Ind@NO 08:00PM ET",10.015,"NO"
"C","Miles Plumlee",3000,"Dal@Mil 08:00PM ET",6.716,"Mil"
"PF","Willie Reed",3000,"Orl@Bkn 07:30PM ET",9.000,"Bkn"
"C","Shayne Whittington",3000,"Ind@NO 08:00PM ET",3.625,"Ind"
"SF","Solomon Hill",3000,"Ind@NO 08:00PM ET",7.625,"Ind"
"SG","John Jenkins",3000,"Dal@Mil 08:00PM ET",5.609,"Dal"
"SF","Ryan Kelly",3000,"OKC@LAL 10:30PM ET",12.318,"LAL"
"PF","Cory Jefferson",3000,"Mia@Pho 09:30PM ET",6.625,"Pho"
"PF","Thomas Robinson",3000,"Orl@Bkn 07:30PM ET",8.867,"Bkn"
"SG","Jared Cunningham",3000,"Cle@Min 08:00PM ET",6.380,"Cle"
"PG","Tim Frazier",3000,"GS@Por 10:00PM ET",5.865,"Por"
"SG","Joe Harris",3000,"Cle@Min 08:00PM ET",1.950,"Cle"
"PF","Kevin Seraphin",3000,"NY@SA 08:30PM ET",10.313,"NY"
"C","Tarik Black",3000,"OKC@LAL 10:30PM ET",10.139,"LAL"
"SG","Jarell Eddie",3000,"Tor@Was 07:00PM ET",10.950,"Was"
"SF","Josh Huestis",3000,"OKC@LAL 10:30PM ET",0,"OKC"
"SG","Markel Brown",3000,"Orl@Bkn 07:30PM ET",5.632,"Bkn"
"SF","Devyn Marble",3000,"Orl@Bkn 07:30PM ET",1.000,"Orl"
"PF","Adreian Payne",3000,"Cle@Min 08:00PM ET",7.288,"Min"
"SG","Joe Young",3000,"Ind@NO 08:00PM ET",4.021,"Ind"
"C","Salah Mejri",3000,"Dal@Mil 08:00PM ET",2.350,"Dal"
"PG","Bryce Cotton",3000,"Mia@Pho 09:30PM ET",4.000,"Pho"
"SF","Pat Connaughton",3000,"GS@Por 10:00PM ET",1.042,"Por"
"SG","James Ennis",3000,"Den@Mem 08:00PM ET",3.969,"Mem"
"SG","Josh Richardson",3000,"Mia@Pho 09:30PM ET",4.125,"Mia"
"C","Dewayne Dedmon",3000,"Orl@Bkn 07:30PM ET",10.761,"Orl"
"PF","James Michael McAdoo",3000,"GS@Por 10:00PM ET",5.200,"GS"
"PF","Rakeem Christmas",3000,"Ind@NO 08:00PM ET",0,"Ind"
"SG","Norman Powell",3000,"Tor@Was 07:00PM ET",3.857,"Tor"
"PF","Jarnell Stokes",3000,"Mia@Pho 09:30PM ET",1.250,"Mia"
"C","Lucas Nogueira",3000,"Tor@Was 07:00PM ET",6.827,"Tor"
"SF","Kostas Papanikolaou",3000,"Den@Mem 08:00PM ET",6.596,"Den"
"SF","Sergey Karasev",3000,"Orl@Bkn 07:30PM ET",2.063,"Bkn"
"SG","Jordan Adams",3000,"Den@Mem 08:00PM ET",9.500,"Mem"
"SF","Justin Anderson",3000,"Dal@Mil 08:00PM ET",4.613,"Dal"
"SF","Glenn Robinson III",3000,"Ind@NO 08:00PM ET",6.863,"Ind"
"PF","Mitch McGary",3000,"OKC@LAL 10:30PM ET",2.667,"OKC"
"SG","Archie Goodwin",3000,"Mia@Pho 09:30PM ET",9.389,"Pho"
"SF","Anthony Bennett",3000,"Tor@Was 07:00PM ET",4.525,"Tor"
"SF","Cleanthony Early",3000,"NY@SA 08:30PM ET",1.500,"NY"
"PG","Delon Wright",3000,"Tor@Was 07:00PM ET",1.929,"Tor"
"PF","Jarell Martin",3000,"Den@Mem 08:00PM ET",1.000,"Mem"
"PG","Tyler Ennis",3000,"Dal@Mil 08:00PM ET",7.067,"Mil"
"SF","Bruno Caboclo",3000,"Tor@Was 07:00PM ET",1.375,"Tor"
"SF","Damien Inglis",3000,"Dal@Mil 08:00PM ET",3.357,"Mil"
"SF","Damjan Rudez",3000,"Cle@Min 08:00PM ET",3.950,"Min"
"SG","Mario Hezonja",3000,"Orl@Bkn 07:30PM ET",8.205,"Orl"
"PF","Cliff Alexander",3000,"GS@Por 10:00PM ET",3.286,"Por"
"PF","Kevon Looney",3000,"GS@Por 10:00PM ET",0,"GS"
"SG","Rashad Vaughn",3000,"Dal@Mil 08:00PM ET",4.879,"Mil"
"PF","Chris McCullough",3000,"Orl@Bkn 07:30PM ET",0,"Bkn"
"SF","Luis Montero",3000,"GS@Por 10:00PM ET",2.357,"Por"
